price,bedrooms,bathrooms,condition,grade,sqft_living,sqft_lot,yr_built,waterfront
221900,3,1,3,7,1340,5650,1955,0
538000,3,2.25,3,7,1690,7639,1951,0
180000,2,1,3,6,2720,8062,1933,0
604000,4,3,5,7,1360,5000,1965,0
510000,3,2,3,8,1800,7503,1987,0
1230000,4,4.5,3,11,4760,101930,2001,0
257500,3,2.25,3,7,2238,6819,1995,0
291850,3,1.5,3,7,1650,9711,1963,0
229500,3,1,3,7,1780,8113,1960,0
323000,3,2.5,3,7,2390,7570,2003,0
662500,3,2.5,3,8,2210,8925,1965,0
468000,2,1,4,7,1330,6000,1942,0
310000,3,1,4,7,1780,12697,1927,0
400000,3,1.75,4,7,1370,10208,1977,0
530000,5,2,3,7,1360,4850,1900,0
650000,4,3,3,9,2140,4000,1979,0
395000,3,2,3,7,1890,14018,1994,0
485000,4,1,4,7,1610,4300,1916,0
189000,2,1,4,7,1060,5095,1921,0
230000,3,1,4,7,1280,8850,1969,0
385000,4,1.75,4,7,1400,4980,1947,0
2.00E+06,3,2.75,3,9,4110,20336,1968,0
285000,5,2.5,3,8,2240,7005,1995,0
252700,2,1.5,3,7,1220,8386,1985,0
329000,3,2.25,4,8,2200,6865,1985,0
233000,3,2,5,6,1030,4705,1941,0
937000,3,1.75,3,8,1760,3573,1915,0
667000,3,1,5,8,1860,3861,1909,0
438000,3,1.75,3,7,1520,6235,1948,0
719000,4,2.5,3,8,2630,6026,2005,0
580500,3,2.5,3,8,2580,3980,2003,0
280000,2,1.5,3,7,1390,1756,2005,0
687500,4,1.75,4,7,1460,5000,1929,0
535000,3,1,4,8,1570,5080,1929,0
322500,4,2.75,3,7,2020,8720,1981,0
696000,3,2.5,3,8,1590,3264,1930,0
550000,4,1,1,5,2160,11467,1933,0
640000,4,2,4,8,1730,4700,1904,0
240000,4,1,2,7,1290,7800,1969,0
605000,4,2.5,3,8,2620,11884,1996,0
625000,4,2.5,3,9,2470,5669,2000,0
775000,4,2.25,3,8,2410,30617,1984,0
861990,5,2.75,3,9,3625,5639,2014,0
685000,3,1,3,7,1580,2640,1922,0
309000,3,1,4,6,1340,8808,1959,0
488000,3,2.5,3,8,3050,9232,2003,0
210490,3,1,3,6,1228,8840,1966,0
785000,4,2.5,4,9,2680,13685,1981,0
450000,3,1.75,4,7,970,5100,1953,0
1.35E+06,3,2.5,5,9,2680,72513,1953,1
228000,3,1,3,7,1190,9364,1955,0
345000,5,2.5,4,8,1990,9133,1966,0
600000,3,1.75,4,7,1410,4080,1950,0
585000,2,1.75,3,7,1480,6738,1981,0
920000,5,2.25,3,8,2730,6000,1927,0
885000,4,2.5,3,9,1950,5000,1995,0
292500,4,2.5,3,7,2250,4500,2008,0
